"id","uri"
8273,http://dbpedia.org/ontology/code
14659,http://dbpedia.org/ontology/CollectionOfValuables
14485,http://dbpedia.org/ontology/College
14486,http://dbpedia.org/ontology/CollegeCoach
14487,http://dbpedia.org/ontology/Colour
14488,http://dbpedia.org/ontology/CombinationDrug
14489,http://dbpedia.org/ontology/Comedian
14490,http://dbpedia.org/ontology/ComedyGroup
14296,http://dbpedia.org/ontology/Comic
14297,http://dbpedia.org/ontology/ComicsCharacter
14492,http://dbpedia.org/ontology/ComicsCreator
14491,http://dbpedia.org/ontology/ComicStrip
8274,http://dbpedia.org/ontology/committee
8275,http://dbpedia.org/ontology/commonName
14660,http://dbpedia.org/ontology/Community
4147,http://dbpedia.org/ontology/Company
14661,http://dbpedia.org/ontology/Competition
8276,http://dbpedia.org/ontology/complexity
8277,http://dbpedia.org/ontology/complications
14219,http://dbpedia.org/ontology/ConcentrationCamp
14493,http://dbpedia.org/ontology/Congressman
14494,http://dbpedia.org/ontology/Conifer
8278,http://dbpedia.org/ontology/conservationStatus
8279,http://dbpedia.org/ontology/conservationStatusSystem
14601,http://dbpedia.org/ontology/Constellation
14662,http://dbpedia.org/ontology/Contest
14220,http://dbpedia.org/ontology/Continent
14663,http://dbpedia.org/ontology/ControlledDesignationOfOriginWine
14298,http://dbpedia.org/ontology/Convention
14664,http://dbpedia.org/ontology/ConveyorSystem
14426,http://dbpedia.org/ontology/Country
8280,http://dbpedia.org/ontology/countryCode
14665,http://dbpedia.org/ontology/CountrySeat
14495,http://dbpedia.org/ontology/Crater
14497,http://dbpedia.org/ontology/Cricketer
14496,http://dbpedia.org/ontology/CricketGround
14602,http://dbpedia.org/ontology/CricketLeague
14154,http://dbpedia.org/ontology/CricketTeam
14299,http://dbpedia.org/ontology/Criminal
14666,http://dbpedia.org/ontology/CrossCountrySkier
14498,http://dbpedia.org/ontology/Crustacean
14300,http://dbpedia.org/ontology/CultivatedVariety
8340,http://dbpedia.org/ontology/curator
14499,http://dbpedia.org/ontology/Curler
14165,http://dbpedia.org/ontology/CurlingLeague
14500,http://dbpedia.org/ontology/Currency
8281,http://dbpedia.org/ontology/currencyCode
14607,http://dbpedia.org/ontology/Cycad
14667,http://dbpedia.org/ontology/CyclingCompetition
14668,http://dbpedia.org/ontology/CyclingLeague
14301,http://dbpedia.org/ontology/CyclingRace
14302,http://dbpedia.org/ontology/CyclingTeam
14501,http://dbpedia.org/ontology/Cyclist
14427,http://dbpedia.org/ontology/Dam
14671,http://dbpedia.org/ontology/Dancer
14502,http://dbpedia.org/ontology/DartsPlayer
14263,http://dbpedia.org/ontology/Database
4871,http://dbpedia.org/ontology/dateOfAbandonment
14669,http://dbpedia.org/ontology/DBpedian
14672,http://dbpedia.org/ontology/Deanery
4148,http://dbpedia.org/ontology/deathDate
